pub_date	title	venue	excerpt	citation	url_slug	paper_url
2022-07-01	ARISE: A Multi-Task Weak Supervision Framework for Network Measurements	IEEE Journal on Selected Areas in Communications	A weakly-supervised multi-task learning framework for Internet traffic classification.	"J. Knofczynski, R. Durairajan, and W. Willinger, ""ARISE: A Multi-Task Weak Supervision Framework for Network Measurements,"" in <i>IEEE Journal on Selected Areas in Communcations</i>, vol. 40, no. 7, July 2022."	arise	https://j-red.github.io/files/arise.pdf
2020-08-31	Combating COVID on College Campuses: The Impact of Structural Changes on Viral Transmissions	Teuscher Labs	A computational modeling simulation of airborne pathogen transmission in academic spaces demonstrating the importance of ventilation and social distancing in scholastic settings.	"J. Knofczynski, A. Killebrew Bruehl, B. Warner, and R. Shelton, "Combating COVID on College Campuses: The Impact of Structural Changes on Viral Transmissions," <i>Portland State University Teuscher Labs</i>, August 2020."	covidmodel	https://archives.pdx.edu/ds/psu/33611
